ASV,domain,supergroup,division,subdivision,class,order,family,genus,species
ASV_10142,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Chytriodiniaceae,Chytriodinium,Chytriodinium_affine
ASV_10143,Eukaryota,Excavata,Discoba,Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
ASV_10144,Eukaryota,TSAR,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,Cladococcus,unassigned
ASV_10145,Eukaryota,TSAR,Rhizaria,Radiolaria,Polycystinea,Spumellaria,unassigned,unassigned,unassigned
ASV_10146,Eukaryota,Excavata,Discoba,Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae_X,Eupelagonemidae_X_sp.
ASV_10147,Eukaryota,TSAR,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Ic,RAD-B_X_Group-Ic_X,RAD-B_X_Group-Ic_X_sp.
ASV_10148,Eukaryota,TSAR,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10150,Eukaryota,TSAR,Alveolata,Ciliophora,Oligohymenophorea,unassigned,unassigned,unassigned,unassigned
ASV_10151,Eukaryota,TSAR,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10152,Eukaryota,TSAR,Alveolata,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10153,Eukaryota,TSAR,Alveolata,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10154,Eukaryota,TSAR,Stramenopiles,Gyrista,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10155,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10156,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_10157,Eukaryota,TSAR,Alveolata,Dinoflagellata,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_10158,Eukaryota,TSAR,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-Id,RAD-B_X_Group-Id_X,RAD-B_X_Group-Id_X_sp.
ASV_10159,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-15,Dino-Group-II-Clade-15_X,Dino-Group-II-Clade-15_X_sp.
ASV_10160,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_10161,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Blastodiniaceae,Blastodinium,Blastodinium_sp.
ASV_10162,Eukaryota,TSAR,Alveolata,Dinoflagellata,unassigned,unassigned,unassigned,unassigned,unassigned
