ASV,domain,supergroup,division,subdivision,class,order,family,genus,species,domain_boot,supergroup_boot,division_boot,subdivision_boot,class_boot,order_boot,family_boot,genus_boot,species_boot
ASV_3558,Eukaryota,TSAR,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae_X,NPK2-lineage,NPK2-lineage_X,NPK2-lineage_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3559,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-17,Dino-Group-II-Clade-17_X,Dino-Group-II-Clade-17_X_sp.,100,100,100,100,100,100,86,86,86
ASV_3560,Eukaryota,TSAR,Telonemia,Telonemia_X,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3561,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,,,100,100,100,100,100,89,75,49,49
ASV_3562,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Hemiaulales,Hemiaulaceae,Hemiaulus,Hemiaulus_sp.,100,100,100,100,97,69,69,69,66
ASV_3563,Eukaryota,Obazoa,Opisthokonta,Metazoa,Mollusca,Gastropoda,Vetigastropoda,Gibbula,Gibbula_cineraria,100,100,100,100,100,100,100,84,84
ASV_3564,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Nephasoma,Nephasoma_flagriferum,100,100,100,100,100,100,100,76,62
ASV_3565,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_brevis-3,100,100,100,100,100,100,100,100,91
ASV_3566,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Chrysophyceae_Clade-EC2H,Chrysophyceae_Clade-EC2H_X,Chrysophyceae_Clade-EC2H_XX,Chrysophyceae_Clade-EC2H_XX_sp.,100,98,98,97,83,83,83,83,83
ASV_3567,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,100,100,100,100,66,30,30,25,25
ASV_3568,Eukaryota,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,100,100,100,100,100,100,100,100,55
ASV_3569,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3570,Eukaryota,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,,99,93,93,92,87,85,85,85,29
ASV_3571,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,100,94,94,83,83,42,29,14,14
ASV_3572,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,100,100,100,100,100,100,100,100,100
ASV_3573,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,,,,,98,85,85,81,70,33,9,9,7
ASV_3574,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,Strombidiidae,Parallelostrombidium,Parallelostrombidium_conicum,100,100,100,100,100,100,82,63,63
ASV_3575,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Pyrocystaceae,Triadinium,Triadinium_polyedricum,100,100,100,100,100,100,100,100,100
ASV_3576,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Syndiniales_X,Syndiniales_XX,Syndiniales_XXX,Syndiniales_XXX_sp.,100,100,100,98,80,80,80,80,80
ASV_3577,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-26,Dino-Group-II-Clade-26_X,Dino-Group-II-Clade-26_X_sp.,100,95,95,87,81,81,81,81,81
ASV_3578,Eukaryota,TSAR,Alveolata,Ciliophora,Spirotrichea,Choreotrichida-Tintinnina,TIN_07,Tintinnopsis_07,Tintinnopsis_07_sp.,100,100,100,100,100,100,100,100,100
ASV_3579,Eukaryota,Obazoa,Opisthokonta,Metazoa,Annelida,Annelida_X,Annelida_XX,Poecilochaetus,Poecilochaetus_serpens,100,100,100,100,100,100,100,100,100
ASV_3580,Eukaryota,TSAR,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-29,Dino-Group-II-Clade-29_X,Dino-Group-II-Clade-29_X_sp.,100,100,100,99,83,75,67,67,67
