"Samples"	"orderplot"	"sampleplot"	"nreads"	"nasvs"
"ROS-BMk17"	"Dinophyceae_X"	"ROS-BMk17"	53	38
"ROS-BMk25"	"Dino-Group-I"	"ROS-BMk25"	5	3
"ROS-ROS05"	"Filosa-Imbricatea_X"	"ROS-ROS05"	461	18
"ROS-MBA03"	"Cryomonadida"	"ROS-MBA03"	19	7
"ROS-MBA07"	"Cryomonadida"	"ROS-MBA07"	22	6
"ROS-MBA12"	"Cryomonadida"	"ROS-MBA12"	29	5
"ROS-MBA20"	"Cryomonadida"	"ROS-MBA20"	19	7
"ROS-EMk09"	"Mamiellales"	"ROS-EMk09"	7	5
"ROS-MBA12"	"Mamiellales"	"ROS-MBA12"	1	1
"ROS-MBA12"	"Dino-Group-I"	"ROS-MBA12"	24	11
"ROS-BMk21"	"Others"	"ROS-BMk21"	22	11
"ROS-NOAA13"	"Pyramimonadales_X"	"ROS-NOAA13"	127	4
"ROS-NOAA18"	"Pyramimonadales_X"	"ROS-NOAA18"	161	6
"ROS-NOAA24"	"Pyramimonadales_X"	"ROS-NOAA24"	129	3
"ROS-NOAA30"	"Pyramimonadales_X"	"ROS-NOAA30"	138	5
"ROS-DAL21"	"Isochrysidales"	"ROS-DAL21"	603	3
"ROS-SOC12"	"Prorocentrales"	"ROS-SOC12"	31	10
"ROS-NOAA07"	"Gonyaulacales"	"ROS-NOAA07"	112	4
"ROS-ROS13"	"Gonyaulacales"	"ROS-ROS13"	24	2
"ROS-DAL09"	"Ebriida"	"ROS-DAL09"	25	11
"ROS-MBA12"	"Others"	"ROS-MBA12"	491	19
"ROS-NOAA24"	"Prymnesiales"	"ROS-NOAA24"	46	6
"ROS-DAL15"	"Cryomonadida"	"ROS-DAL15"	130	10
"ROS-ROS05"	"Prorocentrales"	"ROS-ROS05"	11	5
"ROS-SOC18"	"Prorocentrales"	"ROS-SOC18"	18	5
"ROS-EMk08"	"Suessiales"	"ROS-EMk08"	54	12
"ROS-EMk15"	"Suessiales"	"ROS-EMk15"	4	4
"ROS-BMk25"	"Others"	"ROS-BMk25"	36	19
"ROS-SOC18"	"Crustacea"	"ROS-SOC18"	330	10
"ROS-SOC28"	"Crustacea"	"ROS-SOC28"	13	5
"ROS-EMk09"	"Dinophyceae_X"	"ROS-EMk09"	63	39
"ROS-ROS05"	"Prymnesiales"	"ROS-ROS05"	84	13
"ROS-SOC05"	"Prymnesiales"	"ROS-SOC05"	654	19
"ROS-NOAA18"	"Crustacea"	"ROS-NOAA18"	17955	14
"ROS-NOAA30"	"Crustacea"	"ROS-NOAA30"	8979	10
"ROS-BMk21"	"Prymnesiales"	"ROS-BMk21"	436	14
"ROS-ROS13"	"Suessiales"	"ROS-ROS13"	22	11
"ROS-ROS17"	"Suessiales"	"ROS-ROS17"	14	6
"ROS-SOC05"	"Suessiales"	"ROS-SOC05"	5	4
"ROS-SOC12"	"Suessiales"	"ROS-SOC12"	3	3
"ROS-SOC18"	"Suessiales"	"ROS-SOC18"	11	6
