ASV,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_3620,Eukaryota,,unknown,Bigyra,,,,
ASV_6933,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,
ASV_2482,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus convexus
ASV_9257,Eukaryota,,unknown,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,,
ASV_8526,Eukaryota,,unknown,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,,
ASV_8862,Eukaryota,,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,,
ASV_9076,Eukaryota,,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,,
ASV_6219,Eukaryota,,,,,,,
ASV_5376,Eukaryota,,,,,,,
ASV_3373,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_3113,Eukaryota,,unknown,Chrysophyceae,,,,
ASV_6632,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_2568,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_7580,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_2995,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_8894,Eukaryota,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,
ASV_8522,Eukaryota,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_7080,Eukaryota,,unknown,Chrysophyceae,,,,
ASV_5671,Eukaryota,,unknown,Chrysophyceae,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
ASV_6540,Eukaryota,,,,,,,
