#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1186	Metazoa	Arthropoda	Hexanauplia				
ASV_1202		Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	
ASV_1219			Bigyra	Bicosoecida	Cafeteriaceae	Cafeteria	
ASV_1224			Dinophyceae				
ASV_1227			Dinophyceae				
ASV_1235	Metazoa	Mollusca	Bivalvia	Venerida	Mactridae	Spisula	
ASV_1239			Dinophyceae				
ASV_1245			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1248			Dinophyceae				
ASV_1256		Ciliophora	Spirotrichea		Strombidiidae		
ASV_1257			Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	
ASV_1261		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	
ASV_1266			Dinophyceae				
ASV_1267		Bacillariophyta	Mediophyceae				
ASV_1280			Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium monovelum
ASV_1325			Dinophyceae	Blastodiniales		Blastodinium	Blastodinium contortum
ASV_1329			Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Stoeckeria	
ASV_1333		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Pelagostrobilidium	Pelagostrobilidium neptuni
ASV_1340			Dinophyceae				
ASV_1345		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_1347			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1359			Dinophyceae	Thoracosphaerales	Thoracosphaeraceae		
ASV_1369	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'
ASV_1374			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1382		Ciliophora	Litostomatea	Cyclotrichida	Mesodiniidae	Askenasia	
ASV_1383			Dinophyceae				
ASV_1384			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_1385			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_1396	Metazoa	Annelida	Polychaeta	Eunicida	Eunicidae	Marphysa	Marphysa brevitentaculata
ASV_1420		Haptophyta		Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium polylepis
ASV_1421			Dinophyceae				
ASV_1424		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium
ASV_1433		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia cf. cuspidata
ASV_1437			Dinophyceae	Noctilucales	Noctilucaceae	Noctiluca	Noctiluca scintillans
ASV_1448		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Minidiscus	Minidiscus trioculatus
ASV_1451	Metazoa	Rotifera	Eurotatoria	Ploima	Notommatidae	Notommata	Notommata cordonella
ASV_1456		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_1459		Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_1464			Bigyra				
ASV_1468		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	Conticribra weissflogii
ASV_2606		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_2613			Dinophyceae				
ASV_2614			Dinophyceae				
ASV_2615		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Rimostrombidium	
ASV_2626			Dinophyceae				
ASV_2627		Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula lanceolata
ASV_2628			Bigyra				
ASV_2629		Ciliophora	Spirotrichea	Tintinnida	Tintinnidiidae	Tintinnidium	
ASV_2630		Bacillariophyta	Fragilariophyceae	Licmophorales	Licmophoraceae	Licmophora	Licmophora reichardtii
ASV_2639		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	Rimostrombidium	
ASV_2641			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium fusiforme
ASV_2643			Choanoflagellata	Acanthoecida	Stephanoecidae		
ASV_2650		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_2651		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_2660	Metazoa	Arthropoda	Insecta				
ASV_2661			Dinophyceae				
ASV_2662			Dinophyceae				
ASV_2667		Cercozoa	Thecofilosea				
ASV_2668			Dinophyceae				
ASV_2680	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_2681		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	Conticribra weissflogii
