#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6131	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	unassigned
ASV_6132	Eukaryota	Euglenozoa	Euglenida	Petalomonadida	Scytomonadidae	unassigned	unassigned
ASV_6133	Eukaryota	Platyhelminthes	Cestoda	Phyllobothriidea	Phyllobothriidae	Paraorygmatobothrium	Paraorygmatobothrium exiguum
ASV_6137	Eukaryota	Cercozoa	unknown	Cercomonadida	Cercomonadidae	unassigned	unassigned
ASV_6140	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6141	Eukaryota	Chordata	Mammalia	unassigned	unassigned	unassigned	unassigned
ASV_6157	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_6174	Eukaryota	unknown	Cryptophyceae	Pyrenomonadales	Geminigeraceae	unassigned	unassigned
ASV_6176	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	unassigned	unassigned
ASV_6177	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6178	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6179	Eukaryota	Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	Ventrifissura	Ventrifissura sp. SRT122
ASV_6180	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6181	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_6182	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
