"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"182","ASV_10160",NA,NA,"Dinophyceae","Peridiniales","Amphidiniopsidaceae","Herdmania","Herdmania litoralis"
"183","ASV_10161",NA,NA,"Dinophyceae",NA,NA,NA,NA
"184","ASV_10162",NA,NA,"Dinophyceae",NA,NA,NA,NA
"185","ASV_10163",NA,NA,NA,NA,NA,NA,NA
"186","ASV_10164",NA,NA,"Dinophyceae",NA,NA,NA,NA
"187","ASV_10165","Viridiplantae","Chlorophyta",NA,NA,NA,NA,NA
"188","ASV_10166",NA,NA,NA,NA,NA,NA,NA
"189","ASV_10167","Viridiplantae","Chlorophyta","Mamiellophyceae","Dolichomastigales",NA,NA,NA
"190","ASV_10168",NA,NA,"Polycystinea","Collodaria","Sphaerozoidae","Sphaerozoum",NA
"191","ASV_10169",NA,NA,"Dinophyceae",NA,NA,NA,NA
"192","ASV_1017",NA,"Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Pelagostrobilidium","Pelagostrobilidium neptuni"
"193","ASV_10170",NA,NA,NA,NA,NA,NA,NA
"194","ASV_10171",NA,"Haptophyta",NA,NA,NA,NA,"Haptophyceae sp. EE-2014"
"195","ASV_10172",NA,NA,NA,NA,NA,NA,NA
"196","ASV_10173",NA,NA,"Dinophyceae",NA,NA,NA,NA
"197","ASV_10174",NA,"Ciliophora","Spirotrichea","Urostylida",NA,NA,NA
"198","ASV_10175",NA,NA,"Dinophyceae",NA,NA,NA,NA
"199","ASV_10176",NA,"Oomycota",NA,"Lagenidiales","Haliphthoraceae",NA,NA
"200","ASV_10177",NA,NA,"Dinophyceae",NA,NA,NA,NA
"201","ASV_10178",NA,"Haptophyta",NA,NA,NA,NA,NA
"202","ASV_10179",NA,NA,NA,NA,NA,NA,NA
"203","ASV_1018",NA,"Haptophyta",NA,NA,NA,NA,NA
"204","ASV_10180",NA,NA,"Dinophyceae",NA,NA,NA,NA
"205","ASV_10181",NA,NA,NA,NA,NA,NA,NA
"206","ASV_10182",NA,"Ciliophora","Spirotrichea",NA,NA,NA,NA
"207","ASV_10183",NA,NA,NA,NA,NA,NA,NA
"208","ASV_10184",NA,NA,NA,NA,NA,NA,NA
"209","ASV_10185",NA,NA,NA,NA,NA,NA,NA
"210","ASV_10186",NA,NA,"Dinophyceae",NA,NA,NA,NA
"211","ASV_10187",NA,NA,NA,NA,NA,NA,NA
"212","ASV_10188",NA,NA,"Dinophyceae",NA,NA,NA,NA
"213","ASV_10189",NA,NA,NA,NA,NA,NA,NA
"214","ASV_1019",NA,NA,"Dinophyceae",NA,NA,NA,NA
"215","ASV_10190",NA,NA,NA,NA,NA,NA,NA
"216","ASV_10191",NA,NA,NA,NA,NA,NA,NA
"217","ASV_10192",NA,NA,"Dinophyceae",NA,NA,NA,NA
"218","ASV_10193",NA,"Bacillariophyta","Bacillariophyceae",NA,NA,NA,NA
"219","ASV_10194",NA,NA,NA,NA,NA,NA,NA
"220","ASV_10195",NA,"Ciliophora","Oligohymenophorea","Philasterida","Cinetochilidae",NA,NA
"221","ASV_10196",NA,NA,NA,NA,NA,NA,NA
"222","ASV_10197",NA,NA,NA,NA,NA,NA,NA
"223","ASV_10198",NA,NA,NA,NA,NA,NA,NA
"224","ASV_10199",NA,NA,"Dinophyceae","Syndiniales","Duboscquellidae",NA,NA
"225","ASV_102",NA,NA,"Dinophyceae","Gymnodiniales","Gymnodiniaceae","Margalefidinium",NA
"226","ASV_1020",NA,NA,"Dinophyceae","Syndiniales","Duboscquellidae",NA,NA
"227","ASV_10200",NA,NA,"Dinophyceae",NA,NA,NA,NA
"228","ASV_10201",NA,NA,NA,NA,NA,NA,NA
"229","ASV_10202",NA,NA,"Cryptophyceae","Cyathomonadacea","Goniomonadaceae",NA,NA
"230","ASV_10203",NA,NA,"Dinophyceae",NA,NA,NA,NA
"231","ASV_10204",NA,NA,"Dinophyceae",NA,NA,NA,NA
"232","ASV_10205",NA,NA,NA,NA,NA,NA,NA
"233","ASV_10206",NA,NA,NA,NA,NA,NA,NA
"234","ASV_10207",NA,NA,NA,NA,NA,NA,NA
"235","ASV_10208",NA,NA,"Bolidophyceae","Parmales","Triparmaceae",NA,NA
"236","ASV_10209",NA,NA,"Dinophyceae",NA,NA,NA,NA
"237","ASV_1021","Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae",NA,NA
"238","ASV_10210",NA,NA,"Dinophyceae",NA,NA,NA,NA
"239","ASV_10211",NA,NA,NA,NA,NA,NA,NA
"240","ASV_10212",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"241","ASV_10213",NA,NA,"Polycystinea","Nassellaria","Plagiacanthidae",NA,NA
"242","ASV_10214",NA,NA,NA,NA,NA,NA,NA
"243","ASV_10215",NA,NA,NA,NA,NA,NA,NA
"244","ASV_10216",NA,NA,"Dinophyceae",NA,NA,NA,NA
"245","ASV_10217",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"246","ASV_10218",NA,NA,"Dinophyceae",NA,NA,NA,NA
"247","ASV_10219",NA,NA,"Dinophyceae",NA,NA,NA,NA
"248","ASV_1022",NA,"Bacillariophyta","Bacillariophyceae",NA,NA,NA,NA
"249","ASV_10220",NA,NA,NA,NA,NA,NA,NA
"250","ASV_10221",NA,"Bacillariophyta","Mediophyceae",NA,NA,NA,NA
"251","ASV_10222",NA,NA,NA,NA,NA,NA,NA
"252","ASV_10223",NA,NA,"Dinophyceae","Coccidiniales","Chytriodiniaceae",NA,NA
"253","ASV_10224",NA,NA,"Dinophyceae",NA,NA,NA,NA
"254","ASV_10225",NA,"Discosea","Flabellinia",NA,"Vannellidae","Vannella",NA
"255","ASV_10226",NA,NA,"Dinophyceae",NA,NA,NA,NA
"256","ASV_10227",NA,NA,NA,NA,NA,NA,NA
"257","ASV_10228",NA,NA,NA,NA,NA,NA,NA
"258","ASV_10229",NA,NA,NA,NA,NA,NA,NA
"259","ASV_1023",NA,NA,"Choanoflagellata","Craspedida","Salpingoecidae","Bicosta","Bicosta minor"
"260","ASV_10230",NA,NA,NA,NA,NA,NA,NA
"261","ASV_10231",NA,NA,"Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium",NA
"262","ASV_10232",NA,NA,"Cryptophyceae",NA,NA,NA,NA
"263","ASV_10233",NA,NA,NA,NA,NA,NA,NA
"264","ASV_10234",NA,"Haptophyta",NA,"Prymnesiales","Chrysochromulinaceae","Chrysochromulina",NA
"265","ASV_10235",NA,NA,"Dinophyceae",NA,NA,NA,NA
"266","ASV_10236",NA,NA,"Dinophyceae",NA,NA,NA,NA
"267","ASV_10237",NA,"Bacillariophyta","Coscinodiscophyceae","Melosirales","Melosiraceae","Melosira","Melosira arctica"
"268","ASV_10238","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus furcatus"
"269","ASV_10239",NA,NA,"Dinophyceae",NA,NA,NA,NA
"270","ASV_1024",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA
"271","ASV_10240",NA,NA,NA,"Pirsoniales","Pirsoniaceae","Pirsonia",NA
