ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup
ASV_5448,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriida,Ebriida_X,Ebriida_XX,Ebriida,"Eukaryota,d:Rhizaria,p:Cercozoa,c:Filosa-Thecofilosea,o:Ebriida,f:Ebriida_X,g:Ebriida_XX,s:Ebriida_XX_sp.",not_provided
ASV_1178,Eukaryota,Obazoa,Opisthokonta,Metazoa,Echinodermata,Echinodermata_X,Echinodermata_XX,Echinodermata,Eukaryota;Obazoa;Opisthokonta;Metazoa;Echinodermata;Echinodermata_X;Echinodermata_XX;Echinodermata_XXX;Echinodermata_XXX_sp.;,not_provided
ASV_9211,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Endomyxa_X,Endo5-lineage,Endo5-lineage_X,Endo5,"Eukaryota,d:Rhizaria,p:Cercozoa,c:Endomyxa,o:Endomyxa_X,f:Endo5-lineage,g:Endo5-lineage_X,s:Endo5-lineage_X_sp.",not_provided
ASV_12542,Archaeplastida,Eukaryota,Rhodophyta_X,Compsopogonophyceae,Erythropeltidales,Erythropeltidales_X,Erythropeltidales_XX,Erythropeltidales,not_provided,Rhodophyta
ASV_14192,TSAR,Eukaryota,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphida_X,Euglyphida_XX,Euglyphida,not_provided,Rhizaria
ASV_13395,TSAR,Eukaryota,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG2,Eugregarinorida_EUG2_X,EugregarinoridaEUG2,not_provided,Alveolata
ASV_2825,Eukaryota,TSAR,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Eugregarinorida_EUG3,EugregarinoridaEUG3,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Eugregarinorida_EUG3;Eugregarinorida_EUG3_X;Eugregarinorida_EUG3_X_sp.;,not_provided
ASV_7418,Eukaryota,Eukaryota_X,Eukaryota_XX,Eukaryota_XXX,Eukaryota_XXXX,Eukaryota_XXXXX,Eukaryota_XXXXXX,Eukaryota,"Eukaryota,d:Eukaryota_X,p:Eukaryota_XX,c:Eukaryota_XXX,o:Eukaryota_XXXX,f:Eukaryota_XXXXX,g:Eukaryota_XXXXXX,s:Eukaryota_XXXXXX_sp.",not_provided
ASV_3750,Eukaryota,Excavata,Discoba,Euglenozoa,Diplonemea,Diplonemida,Eupelagonemidae,Eupelagonemidae,Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Eupelagonemidae;Eupelagonemidae_X;Eupelagonemidae_X_sp.;,not_provided
ASV_6952,Eukaryota,Stramenopiles,Ochrophyta,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Eustigmatophyceae_XXX,Eustigmatophyceae,"Eukaryota,d:Stramenopiles,p:Ochrophyta,c:Eustigmatophyceae,o:Eustigmatophyceae_X,f:Eustigmatophyceae_XX,g:Eustigmatophyceae_XXX,s:Eustigmatophyceae_XXX_sp.",not_provided
ASV_12515,TSAR,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida-Tintinnina,Eutintinnidae,Eutintinnidae_X,Eutintinnidae,not_provided,Alveolata
ASV_5778,Eukaryota,TSAR,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Filosa-Imbricatea_XX,Filosa-Imbricatea,Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Filosa-Imbricatea_XXX_sp.;,not_provided
ASV_9314,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Filosa-Thecofilosea_X,Filosa-Thecofilosea_XX,Filosa-Thecofilosea_XXX,Filosa-Thecofilosea,"Eukaryota,d:Rhizaria,p:Cercozoa,c:Filosa-Thecofilosea,o:Filosa-Thecofilosea_X,f:Filosa-Thecofilosea_XX,g:Filosa-Thecofilosea_XXX,s:Filosa-Thecofilosea_XXX_sp.",not_provided
ASV_13392,Amoebozoa,Eukaryota,Tubulinea_X,Elardia,Leptomyxida,Flabellulidae,Flabellulidae_X,Flabellulidae,not_provided,Tubulinea
ASV_2086,Eukaryota,TSAR,Stramenopiles,Gyrista,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciellales,Eukaryota;TSAR;Stramenopiles;Gyrista;Dictyochophyceae;Dictyochophyceae_X;Florenciellales;Florenciellales_X;Florenciellales_X_sp.;,not_provided
ASV_13407,TSAR,Eukaryota,Ciliophora,Oligohymenophorea,Apostomatia,Foettingeriidae,Foettingeriidae_X,Foettingeriidae,not_provided,Alveolata
ASV_5235,Eukaryota,TSAR,Alveolata,Ciliophora,Heterotrichea,Heterotrichea_X,Folliculinidae,Folliculinidae,Eukaryota;TSAR;Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Folliculinidae;Folliculinidae_X;Folliculinidae_X_sp.;,not_provided
ASV_2302,Eukaryota,TSAR,Rhizaria,Foraminifera,Foraminifera_X,Foraminifera_XX,Foraminifera_XXX,Foraminifera,Eukaryota;TSAR;Rhizaria;Foraminifera;Foraminifera_X;Foraminifera_XX;Foraminifera_XXX;Foraminifera_XXXX;Foraminifera_XXXX_sp.;,not_provided
ASV_12949,TSAR,Eukaryota,Ciliophora,Oligohymenophorea,Peniculia,Frontoniidae_1,Frontoniidae_1_X,Frontoniidae1,not_provided,Alveolata
