#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_647	Metazoa	Arthropoda	Hexanauplia	Harpacticoida	Tachidiidae	Tachidius	Tachidius triangularis
ASV_654							
ASV_655	Metazoa	Ctenophora	Tentaculata	Cydippida			
ASV_659			Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	
ASV_665							
ASV_666		Haptophyta		Prymnesiales			
ASV_685	Metazoa	Bryozoa	Gymnolaemata	Cheilostomatida			
ASV_700			Dinophyceae	Syndiniales			uncultured Duboscquella
ASV_704	Viridiplantae	Chlorophyta	Mamiellophyceae				
ASV_707	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_710	Viridiplantae	Chlorophyta	Palmophyllophyceae	Prasinococcales	Prasinococcaceae	Prasinococcus	
ASV_711		Ciliophora	Spirotrichea		Tontoniidae	Pseudotontonia	
ASV_728	Metazoa	Mollusca	Bivalvia				
ASV_734		Haptophyta		Prymnesiales			
ASV_741			Dinophyceae	Syndiniales			
ASV_742			Dinophyceae	Syndiniales			
ASV_754		Bacillariophyta	Mediophyceae				
ASV_756			Dinophyceae				
ASV_766		Ciliophora	Spirotrichea		Strombidiidae	Strombidium	
ASV_767			Dinophyceae				
ASV_773		Haptophyta		Prymnesiales			
ASV_776		Haptophyta		Prymnesiales			
ASV_782							
ASV_793		Ciliophora	Spirotrichea	Tintinnida	Tintinnidae	Steenstrupiella	
ASV_798			Dinophyceae	Syndiniales			
ASV_807			Dinophyceae				
ASV_814			Cryptophyceae	Cryptomonadales			
ASV_820		Haptophyta		Prymnesiales			
ASV_826			Choanoflagellata	Acanthoecida	Stephanoecidae	Calliacantha	Calliacantha natans
ASV_832			Dinophyceae				
ASV_854			Synurophyceae	Ochromonadales			
ASV_864							
ASV_870			Dinophyceae				
ASV_873			Dinophyceae				
ASV_879		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	
ASV_881		Haptophyta		Prymnesiales			
ASV_894	Metazoa	Arthropoda	Hexanauplia	Calanoida			
ASV_896			Cryptophyceae	Cryptomonadales			
ASV_908		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae		
ASV_909			Dinophyceae				
ASV_911		Ciliophora	Spirotrichea				
ASV_928			Dinophyceae				
ASV_935			Dinophyceae	Gymnodiniales	Gymnodiniaceae		
