#OTUID	Davenport_02_0008	Davenport_06_0008	Davenport_11_0008	Davenport_15_0008	Davenport_19_0008	Framstrait_01_0008	Framstrait_05_0008	Framstrait_09_0008	Framstrait_13_0008	Framstrait_17_0008	Bedford_01_0049	Bedford_07_0049	Bedford_13_0049	Bedford_19_0049	Bedford_25_0049	blank_01_0049	bloomMock_01_0049	bloomMock_02_0049	bloomMock_03_0049	bloomMock_04_0049	bloomMock_05_0049	Davenport_02_0049	Davenport_06_0049	Davenport_11_0049	Davenport_15_0049	Davenport_19_0049	evenMock_01_0049	evenMock_02_0049	evenMock_03_0049	evenMock_04_0049	evenMock_05_0049	Framstrait_01_0049	Framstrait_05_0049	Framstrait_09_0049	Framstrait_13_0049	Framstrait_17_0049	LaJolla_03_0049	LaJolla_09_0049	LaJolla_15_0049	LaJolla_21_0049	LaJolla_27_0049	Plymouth_06_0049	Plymouth_13_0049	Plymouth_19_0049	Plymouth_29_0049	Plymouth_30_0049
ASV_11500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	115.0	21.0	69.0	111.0	0.0	0.0	0.0	0.0	0.0
ASV_11501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	150.0	40.0	46.0	97.0	2.0	5.0	3.0	5.0	5.0
ASV_11502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	12.0	5.0	9.0	0.0	58.0	114.0	126.0	83.0
ASV_11503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	85.0	99.0	90.0	105.0	0.0	0.0	0.0	0.0	0.0
ASV_11504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	46.0	14.0	21.0	37.0	47.0	37.0	66.0	50.0	53.0
ASV_11505	23.0	11.0	5.0	82.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	50.0	6.0	113.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	94.0	53.0	102.0	61.0
ASV_11507	9.0	7.0	29.0	56.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	47.0	24.0	59.0	63.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_11508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	5.0	7.0	30.0	2.0	0.0
ASV_11509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11.0	7.0	12.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
